Gen,Best,Worst,Avg,Timestamp
0,32.23201,35.00611,33.64233,2017-11-03 20:50:22
1,22.06442,35.21145,31.98121,2017-11-03 20:50:27
2,20.46024,37.18017,30.16474,2017-11-03 20:50:32
3,19.04608,36.70599,29.66542,2017-11-03 20:50:36
4,19.04608,37.08499,29.88157,2017-11-03 20:50:41
5,19.04608,37.84562,30.49520,2017-11-03 20:50:45
6,19.04608,39.54200,31.31016,2017-11-03 20:50:49
7,19.04608,35.96447,32.06641,2017-11-03 20:50:53
8,19.04608,35.64143,32.73579,2017-11-03 20:50:57
9,19.04608,34.88292,32.82220,2017-11-03 20:51:01
Gen,Best,Worst,Avg,Timestamp
0,32.43374,34.99438,33.65230,2017-11-03 20:51:11
1,25.15147,34.93248,33.21653,2017-11-03 20:51:17
2,25.15147,34.76728,32.55966,2017-11-03 20:51:22
3,21.56368,35.33200,31.21951,2017-11-03 20:51:27
4,20.34163,35.74264,29.21927,2017-11-03 20:51:33
5,20.34163,34.62781,29.94391,2017-11-03 20:51:37
6,20.34163,36.42723,29.51239,2017-11-03 20:51:42
7,20.34163,36.56166,28.87963,2017-11-03 20:51:46
8,20.34163,37.57647,30.32861,2017-11-03 20:51:51
Gen,Best,Worst,Avg,Timestamp
0,33.16332,35.69225,34.44383,2017-11-03 20:55:47
1,28.91774,41.01717,34.34219,2017-11-03 20:55:53
2,23.17942,38.70875,34.13391,2017-11-03 20:55:59
3,22.49745,39.13628,33.80430,2017-11-03 20:56:05
4,22.49745,43.99789,34.10777,2017-11-03 20:56:10
5,22.49745,42.68607,33.98889,2017-11-03 20:56:15
6,22.49745,42.02652,34.48193,2017-11-03 20:56:19
7,22.49745,41.44259,35.11276,2017-11-03 20:56:24
8,22.49745,46.49873,35.23628,2017-11-03 20:56:28
9,22.49745,43.11265,36.31396,2017-11-03 20:56:32
10,22.49745,43.49038,36.31022,2017-11-03 20:56:36
11,22.49745,41.76560,36.32153,2017-11-03 20:56:40
12,22.49745,41.19996,36.46658,2017-11-03 20:56:44
13,22.49745,42.54482,36.47284,2017-11-03 20:56:48
14,22.49745,41.96041,36.33478,2017-11-03 20:56:53
Gen,Best,Worst,Avg,Timestamp
0,29.93952,41.37960,34.40976,2017-11-03 20:58:11
1,28.90161,40.21842,33.99117,2017-11-03 20:58:16
2,26.58239,38.38226,33.36856,2017-11-03 20:58:22
Gen,Best,Worst,Avg,Timestamp
0,27.94857,37.81289,34.38660,2017-11-03 20:58:31
1,27.94857,36.77918,33.80225,2017-11-03 20:58:31
2,27.94857,38.55203,33.85518,2017-11-03 20:58:32
3,27.94857,39.18495,34.36508,2017-11-03 20:58:32
4,27.94857,42.12082,35.11106,2017-11-03 20:58:33
5,27.94857,42.46964,36.24080,2017-11-03 20:58:33
6,27.94857,40.30575,36.22618,2017-11-03 20:58:34
7,27.94857,40.70823,36.36642,2017-11-03 20:58:34
8,27.94857,42.47500,36.20388,2017-11-03 20:58:35
9,27.94857,39.48171,36.25046,2017-11-03 20:58:35
10,27.94857,43.20987,36.11046,2017-11-03 20:58:36
11,27.94857,40.34624,36.25359,2017-11-03 20:58:36
12,27.94857,40.77316,36.37287,2017-11-03 20:58:37
13,27.94857,40.55637,36.18578,2017-11-03 20:58:37
14,27.94857,41.63575,36.21025,2017-11-03 20:58:38
15,27.94857,41.49523,36.21872,2017-11-03 20:58:39
16,27.94857,39.67984,36.00917,2017-11-03 20:58:39
17,27.94857,40.96672,36.34301,2017-11-03 20:58:40
18,27.94857,41.46373,36.11151,2017-11-03 20:58:41
19,27.94857,41.45875,36.11018,2017-11-03 20:58:41
20,27.94857,40.49220,35.82271,2017-11-03 20:58:42
21,27.94857,41.26823,35.80715,2017-11-03 20:58:43
22,27.94857,41.26236,35.81403,2017-11-03 20:58:43
23,27.94857,46.78985,36.00288,2017-11-03 20:58:44
24,27.94857,41.79963,35.38379,2017-11-03 20:58:45
25,27.94857,40.82017,35.76097,2017-11-03 20:58:46
26,27.94857,40.46875,35.62008,2017-11-03 20:58:46
27,26.92680,40.65675,34.88641,2017-11-03 20:58:47
28,26.68243,40.76203,34.27305,2017-11-03 20:58:48
29,26.68243,41.62106,35.75633,2017-11-03 20:58:48
30,26.68243,41.34267,35.74302,2017-11-03 20:58:48
31,26.68243,39.52496,35.35401,2017-11-03 20:58:49
32,26.68243,37.52183,33.69291,2017-11-03 20:58:50
33,26.68243,41.05405,35.67616,2017-11-03 20:58:50
34,26.68243,38.59646,35.58617,2017-11-03 20:58:51
35,26.68243,39.37920,35.67695,2017-11-03 20:58:51
36,26.68243,39.04780,35.74504,2017-11-03 20:58:52
37,26.68243,42.45164,35.63752,2017-11-03 20:58:52
38,26.68243,40.78821,35.62460,2017-11-03 20:58:53
39,26.68243,39.44056,36.03681,2017-11-03 20:58:53
40,26.68243,40.54690,36.18403,2017-11-03 20:58:54
41,26.68243,42.49260,36.38213,2017-11-03 20:58:55
42,26.68243,40.70254,36.07338,2017-11-03 20:58:55
43,26.68243,39.87953,36.14115,2017-11-03 20:58:56
44,26.68243,41.14691,36.03009,2017-11-03 20:58:57
45,26.68243,41.59901,36.17062,2017-11-03 20:58:57
46,26.68243,40.46164,35.86835,2017-11-03 20:58:58
47,26.68243,41.28758,36.02247,2017-11-03 20:58:59
48,26.68243,43.66792,36.11333,2017-11-03 20:59:00
49,26.68243,41.48408,35.55258,2017-11-03 20:59:00
50,26.68243,41.91765,35.65929,2017-11-03 20:59:01
51,26.68243,40.62491,35.63738,2017-11-03 20:59:02
52,26.68243,41.16256,35.32138,2017-11-03 20:59:03
53,26.68243,42.03479,35.63264,2017-11-03 20:59:03
54,26.68243,39.64559,35.16631,2017-11-03 20:59:04
55,26.68243,40.80854,35.17584,2017-11-03 20:59:05
56,26.68243,41.47584,35.13805,2017-11-03 20:59:06
57,26.68243,47.52150,35.32145,2017-11-03 20:59:07
58,26.68243,39.66747,35.43207,2017-11-03 20:59:08
59,26.68243,40.01774,35.45840,2017-11-03 20:59:08
60,26.68243,40.63196,35.22489,2017-11-03 20:59:09
61,26.68243,41.51246,35.42208,2017-11-03 20:59:10
62,26.68243,40.31936,35.42774,2017-11-03 20:59:11
63,26.68243,39.37852,35.58741,2017-11-03 20:59:12
64,26.68243,47.29218,35.20923,2017-11-03 20:59:13
65,26.68243,40.83959,35.24059,2017-11-03 20:59:14
66,26.68243,44.10407,35.60042,2017-11-03 20:59:15
67,26.68243,43.25046,35.48158,2017-11-03 20:59:16
68,26.68243,43.99000,35.14728,2017-11-03 20:59:17
69,26.68243,41.67754,35.41251,2017-11-03 20:59:18
70,26.68243,42.56371,35.80714,2017-11-03 20:59:19
Gen,Best,Worst,Avg,Timestamp
0,30.57059,40.42515,34.53634,2017-11-03 21:01:48
1,29.83541,37.03670,34.06278,2017-11-03 21:01:48
2,29.83541,37.78736,34.31180,2017-11-03 21:01:49
3,29.83541,39.41223,34.50350,2017-11-03 21:01:50
